Feature,Decision Tree,Random Forest,Extra Trees,AdaBoost,Gradient Boosting,XGBoost,LightGBM,CatBoost,Average Importance
ComplaintRiskScore,0.07429844277373251,0.06473980182876096,0.0495643055139247,0.022585082335270564,0.0390443168451518,0.03466599,617,5.408977762900451,77.83673446285226
CashbackAmount,0.09057597123040287,0.07183244213072809,0.0395781057960629,0.051954886277781664,0.07128400837170452,0.03643041,503,5.368782961300293,63.591304848268464
Tenure,0.342820388590289,0.2263389936157298,0.14532176131268862,0.31900661615919174,0.39701711171419735,0.19430177,448,18.697355483605932,58.540270265516924
AverageOrderBehaviorScore,0.02828969037068088,0.04404095255166335,0.029234454716032227,0.0,0.024019763556671,0.016938098,463,2.6023530619929653,58.21810950262037
WarehouseToHome,0.03762793132739781,0.03885298406385363,0.03578328568802136,0.01845394477835573,0.034395945591941895,0.025265532,406,5.041318112776966,51.403962216980126
LoyaltyScore,0.036653880787305984,0.0806146030875691,0.05739531097634326,0.0760201058111456,0.02271549341569243,0.029101504,357,6.423976570113598,45.46580968352558
CustomerValueScore,0.034008003418789186,0.03807603516919636,0.02490530861522563,0.0,0.01551048422771659,0.015568032,306,2.2750298179592465,38.55038721016495
OrderAmountHikeFromlastYear,0.029390664440695317,0.027567050752199868,0.032179530075194376,0.01147908507704243,0.009450099239550492,0.021780774,303,2.313839014724635,38.180710777288326
NumberOfAddress,0.051015712856633325,0.03281783194231408,0.038391196074534784,0.043353326822609756,0.06250458567801273,0.036947493,292,6.68601061937548,37.36888009565746
OrderEngagementScore,0.033503346976988466,0.03903385392627784,0.03477547706173291,0.048613142130194416,0.029278883504612833,0.0339932,266,2.646600249692367,33.60822476909498
DaySinceLastOrder,0.030142783171953166,0.03744636868616312,0.03914224598631079,0.030476278209142955,0.028451145131827973,0.03879374,254,3.9634403351406724,32.27098661190718
CustomerActivityScore,0.016128281645934328,0.029636034546060615,0.026765261173641454,0.0,0.008556779726752431,0.016189849,240,1.3111756994009112,30.176056488187182
PreferredPaymentMode,0.018854681095796258,0.021264692247002084,0.03454483146918596,0.0,0.009977522435606477,0.025426462,235,3.238647176103128,29.793589420705423
CustomerID,0.010746071826397873,0.02760138601330466,0.012823245348408013,0.08061201608837036,0.031704793388416336,0.016650923,193,1.178935054231812,24.294884186186643
PreferedOrderCat,0.027930367558520443,0.034615056531468354,0.04973679680418299,0.04105338864140504,0.025579108938511917,0.035891674,162,6.354718168168447,21.07119057013769
CityTier,0.02517855062721942,0.018320440518913107,0.03515134252047316,0.022875995931544508,0.017212830699284146,0.033394367,152,5.339272440290178,19.686425745886297
OrderCount,0.011901118541335983,0.017994409767740242,0.025309399340778346,0.027746581589946515,0.008783962682697431,0.02730587,136,2.310852229342767,17.30373669633136
SatisfactionScore,0.0022269497537858673,0.029782222582752677,0.04430720493564176,0.01457168237998496,0.019686830810493945,0.028515311,130,6.3315233728083085,17.058826696778624
MaritalStatus_Single,0.014517417173711255,0.01955326641153142,0.033747942376742765,0.02398393568897024,0.019949334266683043,0.037185982,123,2.742473718940197,15.736426449590942
Complain,0.05029713509476658,0.033236959480196455,0.06491610406654348,0.13928433696576162,0.09984580534265261,0.16121806,102,2.6457291219342407,13.149315940615919
Gender_Male,0.0044007852944656705,0.008603921020722327,0.02778574146515306,0.0,0.003961270857266026,0.016443532,92,1.9373985161814908,11.749824220847419
CouponUsed,0.0119696887894888,0.015873342612841377,0.017932266737138054,0.027929595113281795,0.009106163627070896,0.028629204,55,1.2336245449524132,7.043133100761319
PreferredLoginDevice_Phone,0.005738823858813009,0.005456341941154022,0.015551453477728426,0.0,0.004304642541739823,0.011391602,53,0.6363352247150212,6.709847261123878
PreferredLoginDevice_Mobile Phone,0.002858235207462813,0.008398333846828022,0.025001702277783127,0.0,0.0016557042322567952,0.014275621,32,1.0141330304354677,4.133290328336409
HourSpendOnApp,0.003246643573677816,0.006690935705280941,0.019221292824758755,0.0,0.0007647990718117442,0.014588541,32,0.34293346862003393,4.048430710143353
MaritalStatus_Married,0.0008880994671405004,0.009990087357956956,0.01728992865556311,0.0,0.0013792200537279102,0.012955549,26,0.5343276755023381,3.322103820026223
NumberOfDeviceRegistered,0.004790334546614677,0.01162165166179064,0.023644504710206106,0.0,0.0038593940479489325,0.036150906,22,1.4202365687906282,2.937537919999021
